职位名字,公司名字,公司类型,薪资,地区,工作年限,发布日期,福利,经验,学历,所属行业
雷达对抗总体工程师,成都盟升电子技术股份有限公司,上市公司,2.5-5万/月,成都,5,2021-10-26 16:03:31,带薪年假 五险一金 节日福利 餐饮补贴 节日红包,3-4年经验,硕士,电子技术/半导体/集成电路
FPGA工程师-成都、绵阳,四川九洲防控科技有限责任公司,国企,12-24万/年,成都-高新区,4,2021-10-26 14:32:06,交通补贴 餐饮补贴 绩效奖金 定期体检 带薪年休 生日福利 五险两金,2年经验,本科,电子技术/半导体/集成电路
系统工程师,深圳市玖合鑫科技发展有限公司,民营公司,2.5-3万/月,深圳,3,2021-10-26 13:12:13,,1年经验,本科,通信/电信运营、增值服务
信号处理工程师,成都大公博创信息技术有限公司,民营公司,1.2-2万/月,成都,4,2021-10-26 10:37:24,五险一金 交通补贴 餐饮补贴 通讯补贴 年终奖金,2年经验,本科,通信/电信/网络设备
数据部主管,四川弘和集团,民营公司,4.5-6千/月,成都-武侯区,5,2021-10-26 10:09:13,周末双休 带薪年假 五险一金 股票期权 绩效奖金 餐饮补贴 交通补贴 通讯补贴 专业培训,3-4年经验,招1人,计算机软件
Linux C/C++信号处理工程师,电信科学技术第五研究所有限公司,国企,1-1.2万/月,成都,4,2021-10-26 09:41:53,五险一金 商业意外保险 企业年金 绩效奖金 年终奖金 定期体检 专业培训 餐饮补贴 周末双休 年底双薪,2年经验,本科,通信/电信/网络设备
嵌入式软件工程师,成都运达科技股份有限公司,上市公司,1-1.5万/月,成都,5,2021-10-26 09:25:45,五险一金 补充医疗保险 通讯补贴 交通补贴 年终奖金 定期体检 弹性工作 包吃,3-4年经验,本科,计算机软件
电机控制开发工程师,成都运达科技股份有限公司,上市公司,1-2万/月,成都,3,2021-10-26 09:25:33,交通补贴 免费早午餐 五险一金 员工旅游 专业培训 年终奖金 定期体检,1年经验,硕士,计算机软件
雷达总体工程师,成都汇蓉国科微系统技术有限公司,民营公司,1.5-3万/月,成都-高新区,10,2021-10-26 09:18:21,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 股票期权,无需经验,本科,电子技术/半导体/集成电路
嵌入式开发工程师,中建材信息技术股份有限公司,国企,0.8-1.5万/月,成都-青羊区,3,2021-10-26 09:03:44,五险一金 补充医疗保险 绩效奖金 年终奖金 定期体检,1年经验,本科,计算机硬件
FPGA工程师,成都理想境界科技有限公司,民营公司,1.5-2.5万/月,成都-高新区,5,2021-10-26 09:02:00,五险一金 定期体检 年终奖金 餐饮补贴 绩效奖金,3-4年经验,本科,通信/电信/网络设备
FPGA工程师（解决方案）,北京御芯微科技有限公司,民营公司,1-2万/月,成都-高新区,5,2021-10-26 08:38:16,五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训 出国机会 绩效奖金 年终奖金 股票期权 弹性工作,3-4年经验,本科,电子技术/半导体/集成电路
5G FPGA/Digital RAN Algorithm,Ericsson (China) Communications Co.LTD 爱立信（中国）通信有限公司,外资（欧美）,1.5-2.5万/月,成都-高新区,10,2021-10-26 07:00:12,五险一金 弹性工作 补充医疗保险 专业培训 定期体检,无需经验,本科,通信/电信/网络设备
5G FPGA/Digital RAN Algorithm,Ericsson (China) Communications Co.LTD 爱立信（中国）通信有限公司,外资（欧美）,1.5-2.5万/月,成都-高新区,10,2021-10-26 07:00:12,五险一金 弹性工作 补充医疗保险 专业培训 定期体检,无需经验,本科,通信/电信/网络设备
