Aobject_id,lastmodified_time_range,Aexception_type,f0410_name,lastoccur_region,lastappeared_id,lat,username,M,Bexception_type,company,machine_type,machine_mark,isCivilPlane,gjdq,importancelecel,course,category,name0410en,name0410,lastmodified_time,isCivilPlanePossibility,long,name0410Possibility,Bobject_id,lastmodified_date,id,importancelevel
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",29.052368,lisi,1.6034505E9,,"\"null\"","\"null\"","\"null\"","\"null\"",USA,,349.3108,未知,"\"null\"","\"null\"",10:54:31,0,123.9537,0,13,2020-10-23,12507,normal
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",31.102486,wangwu,1.60345152E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"",UK,,121.45341,异常,"\"null\"","\"null\"",11:12:31,0,124.65687,0,14,2020-10-23,12508,low
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",28.06424,xiaoliu,1.60344998E9,,"\"null\"","\"null\"","\"null\"","\"null\"",JAP,,254.00322,未知,"\"null\"","\"null\"",10:46:31,0,123.90685,0,15,2020-10-23,12509,high
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",30.204376,xiaoliu,1.6034505E9,,zz,"\"null\"","\"null\"","\"null\"",JAP,,125.778854,未知,"\"null\"","\"null\"",10:54:31,0,125.61702,0,16,2020-10-23,12510,high
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",28.173403,"\"null\"",1.60345165E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",304.7733,未知,"\"null\"","\"null\"",11:14:31,0,125.01034,0,18,2020-10-23,12512,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",28.25553,"\"null\"",1.60345088E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",163.75584,异常,"\"null\"","\"null\"",11:00:31,0,125.22069,0,23,2020-10-23,12517,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",27.944498,"\"null\"",1.60345088E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",51.832726,未知,"\"null\"","\"null\"",11:00:31,0,124.547554,0,26,2020-10-23,12520,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",31.420666,"\"null\"",1.60345011E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",144.09587,异常,"\"null\"","\"null\"",10:48:31,0,124.630035,0,27,2020-10-23,12521,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",29.895016,"\"null\"",1.60345152E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",281.87842,异常,"\"null\"","\"null\"",11:12:31,0,123.20289,0,33,2020-10-23,12527,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",30.0266,"\"null\"",1.60345024E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",130.86478,未知,"\"null\"","\"null\"",10:50:31,0,125.66033,0,34,2020-10-23,12528,
